Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Black	2012	15-19 years	0.2	2	925334	19819518
Localized	Black	2012	20-24 years	0.2	2	963683	18257225
Localized	Black	2012	25-29 years	0.7	6	809629	17722067
Localized	Black	2012	30-34 years	1.9	15	781514	19511370
Localized	Black	2012	35-39 years	1.8	13	713928	22179956
Localized	Black	2012	40-44 years	6.4	48	751873	22479229
Localized	Black	2012	45-49 years	13.0	99	762151	19805793
Localized	Black	2012	50-54 years	31.0	231	745572	17224359
Localized	Black	2012	55-59 years	32.9	210	639025	13307234
Localized	Black	2012	60-64 years	48.8	245	501848	10654272
Localized	Black	2012	65-69 years	73.8	253	342748	9409940
Localized	Black	2012	70-74 years	85.5	204	238632	8725574
Localized	Black	2012	75-79 years	104.0	176	169152	7414559
Localized	Black	2012	80-84 years	95.1	106	111430	4900234
Localized	Black	2012	85+ years	79.9	85	106344	4259173
Localized	Black	2013	00 years	0.0	0	167762	3794901
Localized	Black	2013	01-04 years	0.0	0	683637	15191619
Localized	Black	2013	05-09 years	0.0	0	868525	19919840
Localized	Black	2013	10-14 years	0.0	0	871896	20056779
Localized	Black	2013	15-19 years	0.1	1	905573	19819518
Localized	Black	2013	20-24 years	0.3	3	988949	18257225
Localized	Black	2013	25-29 years	0.5	4	829766	17722067
Localized	Black	2013	30-34 years	2.1	17	792242	19511370
Localized	Black	2013	35-39 years	2.6	19	719343	22179956
Localized	Black	2013	40-44 years	5.1	38	748272	22479229
Localized	Black	2013	45-49 years	13.6	102	750786	19805793
Localized	Black	2013	50-54 years	30.6	230	751336	17224359
Localized	Black	2013	55-59 years	37.9	250	660410	13307234
Localized	Black	2013	60-64 years	50.3	260	516739	10654272
Localized	Black	2013	65-69 years	69.9	255	364970	9409940
Localized	Black	2013	70-74 years	85.8	215	250645	8725574
Localized	Black	2013	75-79 years	94.0	164	174514	7414559
Localized	Black	2013	80-84 years	102.1	117	114546	4900234
Localized	Black	2013	85+ years	70.0	77	109974	4259173
Localized	Black	2014	00 years	0.0	0	172974	3794901
Localized	Black	2014	01-04 years	0.0	0	679601	15191619
Localized	Black	2014	05-09 years	0.0	0	875049	19919840
Localized	Black	2014	10-14 years	0.1	1	866248	20056779
Localized	Black	2014	15-19 years	0.4	4	891622	19819518
Localized	Black	2014	20-24 years	0.3	3	999765	18257225
Localized	Black	2014	25-29 years	0.7	6	865401	17722067
Localized	Black	2014	30-34 years	1.9	15	798513	19511370
Localized	Black	2014	35-39 years	3.9	29	734978	22179956
Localized	Black	2014	40-44 years	5.3	39	741653	22479229
Localized	Black	2014	45-49 years	14.1	104	738860	19805793
Localized	Black	2014	50-54 years	34.4	260	756125	17224359
Localized	Black	2014	55-59 years	39.5	268	678557	13307234
Localized	Black	2014	60-64 years	43.4	232	534723	10654272
Localized	Black	2014	65-69 years	67.2	262	390136	9409940
Localized	Black	2014	70-74 years	72.9	191	261890	8725574
Localized	Black	2014	75-79 years	77.1	139	180253	7414559
Localized	Black	2014	80-84 years	89.6	106	118281	4900234
Localized	Black	2014	85+ years	70.4	80	113586	4259173
Regional	Black	2000	00 years	0.0	0	164743	3794901
Regional	Black	2000	01-04 years	0.0	0	663904	15191619
Regional	Black	2000	05-09 years	0.0	0	925227	19919840
Regional	Black	2000	10-14 years	0.0	0	895312	20056779
Regional	Black	2000	15-19 years	0.0	0	811534	19819518
Regional	Black	2000	20-24 years	0.1	1	738949	18257225
Regional	Black	2000	25-29 years	0.8	6	721173	17722067
Regional	Black	2000	30-34 years	1.7	13	751976	19511370
Regional	Black	2000	35-39 years	3.5	28	795045	22179956
Regional	Black	2000	40-44 years	6.8	51	748688	22479229
Regional	Black	2000	45-49 years	11.3	71	626388	19805793
Regional	Black	2000	50-54 years	27.6	139	504521	17224359
Regional	Black	2000	55-59 years	38.7	138	356213	13307234
Regional	Black	2000	60-64 years	61.7	175	283409	10654272
Regional	Black	2000	65-69 years	77.8	178	228697	9409940
Regional	Black	2000	70-74 years	107.6	200	185827	8725574
Regional	Black	2000	75-79 years	117.0	166	141925	7414559
Regional	Black	2000	80-84 years	157.9	141	89293	4900234
Regional	Black	2000	85+ years	131.7	105	79721	4259173
Regional	Black	2001	00 years	0.0	0	167142	3794901
Regional	Black	2001	01-04 years	0.0	0	659603	15191619
Regional	Black	2001	05-09 years	0.0	0	904459	19919840
Regional	Black	2001	10-14 years	0.0	0	924241	20056779
Regional	Black	2001	15-19 years	0.1	1	823182	19819518
Regional	Black	2001	20-24 years	0.4	3	766761	18257225
Regional	Black	2001	25-29 years	0.6	4	702859	17722067
Regional	Black	2001	30-34 years	1.6	12	753996	19511370
Regional	Black	2001	35-39 years	3.7	29	793026	22179956
Regional	Black	2001	40-44 years	7.1	54	763121	22479229
Regional	Black	2001	45-49 years	13.9	90	646157	19805793
Regional	Black	2001	50-54 years	26.5	143	540526	17224359
Regional	Black	2001	55-59 years	39.1	144	368676	13307234
Regional	Black	2001	60-64 years	54.8	159	290301	10654272
Regional	Black	2001	65-69 years	76.0	179	235420	9409940
Regional	Black	2001	70-74 years	102.3	191	186675	8725574
Regional	Black	2001	75-79 years	135.1	195	144364	7414559
Regional	Black	2001	80-84 years	149.2	137	91810	4900234
Regional	Black	2001	85+ years	140.3	110	78405	4259173
Regional	Black	2002	00 years	0.0	0	162100	3794901
Regional	Black	2002	01-04 years	0.0	0	661088	15191619
Regional	Black	2002	05-09 years	0.0	0	885018	19919840
Regional	Black	2002	10-14 years	0.0	0	949627	20056779
Regional	Black	2002	15-19 years	0.1	1	836137	19819518
Regional	Black	2002	20-24 years	0.1	1	786899	18257225
Regional	Black	2002	25-29 years	0.9	6	695112	17722067
Regional	Black	2002	30-34 years	2.1	16	755444	19511370
Regional	Black	2002	35-39 years	3.7	29	782384	22179956
Regional	Black	2002	40-44 years	6.1	47	771724	22479229
Regional	Black	2002	45-49 years	12.8	86	673219	19805793
Regional	Black	2002	50-54 years	27.2	152	558587	17224359
Regional	Black	2002	55-59 years	41.2	163	395955	13307234
Regional	Black	2002	60-64 years	55.7	167	299612	10654272
Regional	Black	2002	65-69 years	81.2	195	240268	9409940
Regional	Black	2002	70-74 years	103.0	195	189262	8725574
Regional	Black	2002	75-79 years	120.3	175	145482	7414559
Regional	Black	2002	80-84 years	139.5	132	94614	4900234
Regional	Black	2002	85+ years	146.2	114	78001	4259173
Regional	Black	2003	00 years	0.0	0	160463	3794901
Regional	Black	2003	01-04 years	0.0	0	659715	15191619
Regional	Black	2003	05-09 years	0.0	0	867402	19919840
Regional	Black	2003	10-14 years	0.1	1	966462	20056779
Regional	Black	2003	15-19 years	0.1	1	855732	19819518
Regional	Black	2003	20-24 years	0.0	0	797189	18257225
Regional	Black	2003	25-29 years	0.3	2	693816	17722067
Regional	Black	2003	30-34 years	1.5	11	750239	19511370
Regional	Black	2003	35-39 years	3.8	29	769826	22179956
Regional	Black	2003	40-44 years	6.9	54	779776	22479229
Regional	Black	2003	45-49 years	12.9	90	697064	19805793
Regional	Black	2003	50-54 years	26.7	154	576247	17224359
Regional	Black	2003	55-59 years	35.5	150	422061	13307234
Regional	Black	2003	60-64 years	57.6	180	312368	10654272
Regional	Black	2003	65-69 years	89.0	219	246112	9409940
Regional	Black	2003	70-74 years	104.6	201	192195	8725574
Regional	Black	2003	75-79 years	132.8	195	146852	7414559
Regional	Black	2003	80-84 years	136.3	132	96828	4900234
Regional	Black	2003	85+ years	123.4	97	78601	4259173
Regional	Black	2004	00 years	0.0	0	160577	3794901
Regional	Black	2004	01-04 years	0.0	0	658008	15191619
Regional	Black	2004	05-09 years	0.0	0	852995	19919840
Regional	Black	2004	10-14 years	0.0	0	970063	20056779
Regional	Black	2004	15-19 years	0.2	2	883103	19819518
Regional	Black	2004	20-24 years	0.4	3	808624	18257225
Regional	Black	2004	25-29 years	0.6	4	711179	17722067
Regional	Black	2004	30-34 years	1.5	11	743806	19511370
Regional	Black	2004	35-39 years	3.0	23	756246	22179956
Regional	Black	2004	40-44 years	7.2	57	788937	22479229
Regional	Black	2004	45-49 years	12.2	87	715438	19805793
Regional	Black	2004	50-54 years	27.3	163	596177	17224359
Regional	Black	2004	55-59 years	38.3	173	451821	13307234
Regional	Black	2004	60-64 years	50.5	164	324594	10654272
Regional	Black	2004	65-69 years	81.4	205	251828	9409940
Regional	Black	2004	70-74 years	105.3	206	195614	8725574
Regional	Black	2004	75-79 years	131.1	193	147197	7414559
Regional	Black	2004	80-84 years	128.5	127	98846	4900234
Regional	Black	2004	85+ years	99.5	79	79367	4259173
Regional	Black	2005	00 years	0.0	0	147766	3794901
Regional	Black	2005	01-04 years	0.0	0	604476	15191619
Regional	Black	2005	05-09 years	0.0	0	781492	19919840
Regional	Black	2005	10-14 years	0.0	0	887482	20056779
Regional	Black	2005	15-19 years	0.4	3	848108	19819518
Regional	Black	2005	20-24 years	0.7	5	741417	18257225
Regional	Black	2005	25-29 years	0.9	6	678222	17722067
Regional	Black	2005	30-34 years	1.8	12	680374	19511370
Regional	Black	2005	35-39 years	3.1	22	703852	22179956
Regional	Black	2005	40-44 years	8.1	60	737272	22479229
Regional	Black	2005	45-49 years	13.0	89	684090	19805793
Regional	Black	2005	50-54 years	24.3	138	568433	17224359
Regional	Black	2005	55-59 years	34.4	155	450948	13307234
Regional	Black	2005	60-64 years	54.6	169	309667	10654272
Regional	Black	2005	65-69 years	63.2	151	238833	9409940
Regional	Black	2005	70-74 years	93.0	171	183905	8725574
Regional	Black	2005	75-79 years	108.3	149	137529	7414559
Regional	Black	2005	80-84 years	116.0	107	92269	4900234
Regional	Black	2005	85+ years	120.9	92	76079	4259173
Regional	Black	2006	00 years	0.0	0	158918	3794901
Regional	Black	2006	01-04 years	0.0	0	644874	15191619
Regional	Black	2006	05-09 years	0.0	0	833259	19919840
Regional	Black	2006	10-14 years	0.0	0	926401	20056779
Regional	Black	2006	15-19 years	0.1	1	935953	19819518
Regional	Black	2006	20-24 years	0.2	2	801496	18257225
Regional	Black	2006	25-29 years	0.4	3	744424	17722067
Regional	Black	2006	30-34 years	2.6	18	701756	19511370
Regional	Black	2006	35-39 years	4.5	34	747341	22179956
Regional	Black	2006	40-44 years	6.8	53	781280	22479229
Regional	Black	2006	45-49 years	10.4	77	743059	19805793
Regional	Black	2006	50-54 years	24.4	154	630325	17224359
Regional	Black	2006	55-59 years	34.8	180	516657	13307234
Regional	Black	2006	60-64 years	49.4	169	342230	10654272
Regional	Black	2006	65-69 years	68.5	180	262911	9409940
